FIPS,State,County,OutcomesZ-Score,OutcomesRank,FactorsZ-Score,FactorsRank
01001,Alabama,Autauga,-0.60,15,-0.50,9
01003,Alabama,Baldwin,-1.35,2,-0.80,4
01005,Alabama,Barbour,-0.03,33,0.39,57
01007,Alabama,Bibb,0.64,53,0.29,52
01009,Alabama,Blount,-0.83,10,-0.40,13
01011,Alabama,Bullock,0.36,47,0.78,62
01013,Alabama,Butler,-0.14,28,0.55,58
01015,Alabama,Calhoun,0.23,43,0.02,36
01017,Alabama,Chambers,0.44,49,0.32,54
01019,Alabama,Cherokee,-0.33,23,0.08,39
01021,Alabama,Chilton,-0.03,34,0.04,38
01023,Alabama,Choctaw,1.04,62,0.01,35
01025,Alabama,Clarke,-0.50,18,0.30,53
01027,Alabama,Clay,0.04,38,0.08,40
01029,Alabama,Cleburne,-0.12,29,-0.34,16
01031,Alabama,Coffee,-0.98,6,-0.63,6
01033,Alabama,Colbert,0.19,42,-0.22,20
01035,Alabama,Conecuh,0.82,58,0.60,60
01037,Alabama,Coosa,0.24,44,0.32,55
01039,Alabama,Covington,-0.33,22,0.21,46
01041,Alabama,Crenshaw,-0.50,19,-0.17,25
01043,Alabama,Cullman,-0.55,17,-0.44,12
01045,Alabama,Dale,-0.59,16,-0.38,15
01047,Alabama,Dallas,0.86,60,0.91,64
01049,Alabama,DeKalb,-0.42,20,-0.14,26
01051,Alabama,Elmore,-0.91,7,-0.62,8
01053,Alabama,Escambia,0.27,46,0.21,47
01055,Alabama,Etowah,0.24,45,-0.08,29
01057,Alabama,Fayette,0.95,61,-0.18,22
01059,Alabama,Franklin,-0.19,26,-0.08,28
01061,Alabama,Geneva,-0.64,13,0.15,42
01063,Alabama,Greene,0.67,55,1.22,67
01065,Alabama,Hale,1.24,65,0.79,63
01067,Alabama,Henry,-0.72,12,-0.24,19
01069,Alabama,Houston,-0.83,9,-0.46,11
01071,Alabama,Jackson,0.38,48,-0.17,24
01073,Alabama,Jefferson,-0.15,27,-0.48,10
01075,Alabama,Lamar,-0.03,35,-0.04,32
01077,Alabama,Lauderdale,-0.62,14,-0.78,5
01079,Alabama,Lawrence,-0.05,31,0.11,41
01081,Alabama,Lee,-1.34,3,-0.83,3
01083,Alabama,Limestone,-1.20,5,-0.63,7
01085,Alabama,Lowndes,2.05,67,1.02,65
01087,Alabama,Macon,0.75,57,0.23,49
01089,Alabama,Madison,-1.21,4,-0.98,2
01091,Alabama,Marengo,0.01,37,0.22,48
01093,Alabama,Marion,-0.04,32,-0.06,31
01095,Alabama,Marshall,-0.29,24,0.00,34
01097,Alabama,Mobile,0.10,39,-0.03,33
01099,Alabama,Monroe,0.65,54,0.58,59
01101,Alabama,Montgomery,-0.39,21,-0.30,17
01103,Alabama,Morgan,-0.85,8,-0.27,18
01105,Alabama,Perry,1.24,64,0.67,61
