FIPS,State,County,OutcomesRank,OutcomesQuartile,FactorsRank,FactorsQuartile
01001,Alabama,Autauga,6,1,9,1
01003,Alabama,Baldwin,2,1,3,1
01005,Alabama,Barbour,45,3,56,4
01007,Alabama,Bibb,34,2,29,2
01009,Alabama,Blount,24,2,20,2
01011,Alabama,Bullock,56,4,66,4
01013,Alabama,Butler,64,4,58,4
01015,Alabama,Calhoun,42,3,33,2
01017,Alabama,Chambers,44,3,34,2
01019,Alabama,Cherokee,37,3,16,1
01021,Alabama,Chilton,15,1,35,3
01023,Alabama,Choctaw,52,4,45,3
01025,Alabama,Clarke,49,3,53,4
01027,Alabama,Clay,25,2,47,3
01029,Alabama,Cleburne,21,2,25,2
01031,Alabama,Coffee,4,1,8,1
01033,Alabama,Colbert,20,2,13,1
01035,Alabama,Conecuh,53,4,59,4
01037,Alabama,Coosa,55,4,52,4
01039,Alabama,Covington,38,3,22,2
01041,Alabama,Crenshaw,18,2,43,3
01043,Alabama,Cullman,16,1,17,1
01045,Alabama,Dale,23,2,21,2
01047,Alabama,Dallas,65,4,64,4
01049,Alabama,DeKalb,29,2,38,3
01051,Alabama,Elmore,8,1,12,1
01053,Alabama,Escambia,50,3,55,4
01055,Alabama,Etowah,39,3,32,2
01057,Alabama,Fayette,19,2,30,2
01059,Alabama,Franklin,32,2,36,3
01061,Alabama,Geneva,28,2,46,3
01063,Alabama,Greene,61,4,62,4
01065,Alabama,Hale,57,4,54,4
01067,Alabama,Henry,13,1,15,1
01069,Alabama,Houston,14,1,14,1
01071,Alabama,Jackson,36,3,26,2
01073,Alabama,Jefferson,26,2,10,1
01075,Alabama,Lamar,47,3,19,2
01077,Alabama,Lauderdale,10,1,4,1
01079,Alabama,Lawrence,40,3,40,3
01081,Alabama,Lee,3,1,5,1
01083,Alabama,Limestone,5,1,6,1
01085,Alabama,Lowndes,66,4,65,4
01087,Alabama,Macon,59,4,61,4
01089,Alabama,Madison,7,1,2,1
01091,Alabama,Marengo,54,4,51,4
01093,Alabama,Marion,30,2,28,2
01095,Alabama,Marshall,17,1,31,2
01097,Alabama,Mobile,35,3,44,3
01099,Alabama,Monroe,58,4,57,4
01101,Alabama,Montgomery,27,2,27,2
01103,Alabama,Morgan,9,1,11,1
01105,Alabama,Perry,67,4,63,4
01107,Alabama,Pickens,41,3,23,2
01109,Alabama,Pike,33,2,39,3
01111,Alabama,Randolph,22,2,37,3
01113,Alabama,Russell,43,3,49,3
01117,Alabama,Shelby,1,1,1,1
01115,Alabama,St. Clair,11,1,18,2
01119,Alabama,Sumter,63,4,60,4
01121,Alabama,Talladega,48,3,48,3
01123,Alabama,Tallapoosa,46,3,24,2
01125,Alabama,Tuscaloosa,12,1,7,1
01127,Alabama,Walker,62,4,42,3
01129,Alabama,Washington,51,4,50,3
01131,Alabama,Wilcox,60,4,67,4
01133,Alabama,Winston,31,2,41,3
02013,Alaska,Aleutians East,NR,NR,NR,NR
02016,Alaska,Aleutians West,17,3,10,2
02020,Alaska,Anchorage,10,2,5,1
02050,Alaska,Bethel,21,4,24,4
02060,Alaska,Bristol Bay,NR,NR,NR,NR
02068,Alaska,Denali,12,2,8,2
02070,Alaska,Dillingham,20,4,19,3
02090,Alaska,Fairbanks North Star,6,1,3,1
02100,Alaska,Haines,13,3,4,1
02105,Alaska,Hoonah-Angoon,15,3,16,3
02110,Alaska,Juneau,3,1,1,1
02122,Alaska,Kenai Peninsula,8,2,11,2
02130,Alaska,Ketchikan Gateway,9,2,9,2
02150,Alaska,Kodiak Island,1,1,7,2
02158,Alaska,Kusilvak,25,4,25,4
02164,Alaska,Lake and Peninsula,19,3,20,4
02170,Alaska,Matanuska-Susitna,7,2,12,2
02180,Alaska,Nome,22,4,23,4
02185,Alaska,North Slope,16,3,18,3
02188,Alaska,Northwest Arctic,24,4,22,4
02195,Alaska,Petersburg,11,2,6,1
02198,Alaska,Prince of Wales-Hyder,18,3,17,3
02220,Alaska,Sitka,5,1,2,1
02230,Alaska,Skagway,NR,NR,NR,NR
02240,Alaska,Southeast Fairbanks,2,1,15,3
02261,Alaska,Valdez-Cordova,4,1,14,3
02275,Alaska,Wrangell,14,3,13,3
02282,Alaska,Yakutat,NR,NR,NR,NR
02290,Alaska,Yukon-Koyukuk,23,4,21,4
04001,Arizona,Apache,15,4,15,4
04003,Arizona,Cochise,8,2,6,2
04005,Arizona,Coconino,9,3,2,1
04007,Arizona,Gila,13,4,10,3
04009,Arizona,Graham,10,3,7,2
04011,Arizona,Greenlee,3,1,3,1
04012,Arizona,La Paz,12,4,13,4
04013,Arizona,Maricopa,2,1,4,1
04015,Arizona,Mohave,11,3,11,3
04017,Arizona,Navajo,14,4,14,4
04019,Arizona,Pima,4,1,5,2
04021,Arizona,Pinal,5,2,8,2
04023,Arizona,Santa Cruz,6,2,9,3
04025,Arizona,Yavapai,7,2,1,1
04027,Arizona,Yuma,1,1,12,4
05001,Arkansas,Arkansas,52,3,44,3
05003,Arkansas,Ashley,49,3,60,4
05005,Arkansas,Baxter,7,1,3,1
05007,Arkansas,Benton,1,1,1,1
05009,Arkansas,Boone,9,1,5,1
05011,Arkansas,Bradley,60,4,61,4
05013,Arkansas,Calhoun,53,3,21,2
05015,Arkansas,Carroll,25,2,12,1
05017,Arkansas,Chicot,71,4,71,4
05019,Arkansas,Clark,32,2,11,1
05021,Arkansas,Clay,42,3,59,4
05023,Arkansas,Cleburne,23,2,10,1
05025,Arkansas,Cleveland,36,2,16,1
05027,Arkansas,Columbia,48,3,45,3
05029,Arkansas,Conway,30,2,36,2
05031,Arkansas,Craighead,18,1,14,1
05033,Arkansas,Crawford,16,1,19,1
05035,Arkansas,Crittenden,70,4,62,4
05037,Arkansas,Cross,64,4,46,3
05039,Arkansas,Dallas,44,3,35,2
05041,Arkansas,Desha,73,4,70,4
05043,Arkansas,Drew,56,3,52,3
05045,Arkansas,Faulkner,5,1,7,1
05047,Arkansas,Franklin,59,4,20,2
05049,Arkansas,Fulton,33,2,18,1
05051,Arkansas,Garland,39,3,23,2
05053,Arkansas,Grant,8,1,6,1
05055,Arkansas,Greene,28,2,13,1
05057,Arkansas,Hempstead,37,2,55,3
05059,Arkansas,Hot Spring,46,3,32,2
05061,Arkansas,Howard,45,3,48,3
05063,Arkansas,Independence,19,1,8,1
05065,Arkansas,Izard,34,2,33,2
05067,Arkansas,Jackson,62,4,69,4
05069,Arkansas,Jefferson,69,4,67,4
05071,Arkansas,Johnson,22,2,40,3
05073,Arkansas,Lafayette,47,3,66,4
05075,Arkansas,Lawrence,41,3,43,3
05077,Arkansas,Lee,66,4,74,4
05079,Arkansas,Lincoln,29,2,57,4
05081,Arkansas,Little River,35,2,56,3
05083,Arkansas,Logan,38,2,42,3
05085,Arkansas,Lonoke,10,1,15,1
05087,Arkansas,Madison,50,3,37,2
05089,Arkansas,Marion,31,2,27,2
05091,Arkansas,Miller,55,3,58,4
05093,Arkansas,Mississippi,72,4,72,4
05095,Arkansas,Monroe,75,4,68,4
05097,Arkansas,Montgomery,4,1,41,3
05099,Arkansas,Nevada,54,3,47,3
05101,Arkansas,Newton,13,1,26,2
05103,Arkansas,Ouachita,63,4,54,3
05105,Arkansas,Perry,14,1,17,1
05107,Arkansas,Phillips,74,4,75,4
05109,Arkansas,Pike,6,1,39,3
05111,Arkansas,Poinsett,67,4,65,4
05113,Arkansas,Polk,27,2,29,2
05115,Arkansas,Pope,11,1,22,2
05117,Arkansas,Prairie,20,2,31,2
05119,Arkansas,Pulaski,12,1,9,1
05121,Arkansas,Randolph,51,3,30,2
05125,Arkansas,Saline,2,1,2,1
05127,Arkansas,Scott,61,4,51,3
05129,Arkansas,Searcy,26,2,24,2
05131,Arkansas,Sebastian,17,1,25,2
05133,Arkansas,Sevier,21,2,53,3
05135,Arkansas,Sharp,65,4,49,3
05123,Arkansas,St. Francis,68,4,73,4
05137,Arkansas,Stone,43,3,38,2
05139,Arkansas,Union,57,4,50,3
05141,Arkansas,Van Buren,24,2,34,2
05143,Arkansas,Washington,3,1,4,1
05145,Arkansas,White,15,1,28,2
05147,Arkansas,Woodruff,58,4,64,4
05149,Arkansas,Yell,40,3,63,4
06001,California,Alameda,7,1,5,1
06003,California,Alpine,33,3,49,4
06005,California,Amador,25,2,14,1
06007,California,Butte,43,3,33,3
06009,California,Calaveras,23,2,23,2
06011,California,Colusa,30,3,44,3
06013,California,Contra Costa,10,1,9,1
06015,California,Del Norte,45,4,48,4
06017,California,El Dorado,17,2,8,1
06019,California,Fresno,48,4,51,4
06021,California,Glenn,35,3,47,4
06023,California,Humboldt,47,4,34,3
06025,California,Imperial,29,2,58,4
06027,California,Inyo,50,4,26,2
06029,California,Kern,52,4,57,4
06031,California,Kings,32,3,55,4
06033,California,Lake,58,4,52,4
06035,California,Lassen,42,3,43,3
06037,California,Los Angeles,21,2,32,3
06039,California,Madera,38,3,54,4
06041,California,Marin,1,1,1,1
06043,California,Mariposa,44,3,28,2
06045,California,Mendocino,41,3,38,3
06047,California,Merced,39,3,53,4
06049,California,Modoc,55,4,45,4
06051,California,Mono,18,2,22,2
06053,California,Monterey,22,2,36,3
06055,California,Napa,8,1,11,1
06057,California,Nevada,16,2,16,2
06059,California,Orange,5,1,7,1
06061,California,Placer,4,1,3,1
06063,California,Plumas,54,4,27,2
06065,California,Riverside,26,2,35,3
06067,California,Sacramento,28,2,24,2
06069,California,San Benito,20,2,25,2
06071,California,San Bernardino,40,3,41,3
06073,California,San Diego,13,1,18,2
06075,California,San Francisco,6,1,6,1
06077,California,San Joaquin,34,3,40,3
06079,California,San Luis Obispo,14,1,10,1
06081,California,San Mateo,2,1,2,1
06083,California,Santa Barbara,19,2,19,2
06085,California,Santa Clara,3,1,4,1
06087,California,Santa Cruz,12,1,17,2
06089,California,Shasta,46,4,29,2
06091,California,Sierra,36,3,30,3
06093,California,Siskiyou,57,4,37,3
06095,California,Solano,24,2,21,2
06097,California,Sonoma,9,1,12,1
06099,California,Stanislaus,37,3,39,3
06101,California,Sutter,31,3,31,3
06103,California,Tehama,49,4,42,3
06105,California,Trinity,56,4,46,4
06107,California,Tulare,53,4,56,4
06109,California,Tuolumne,27,2,20,2
06111,California,Ventura,11,1,15,2
06113,California,Yolo,15,2,13,1
06115,California,Yuba,51,4,50,4
08001,Colorado,Adams,30,2,47,4
08003,Colorado,Alamosa,55,4,48,4
08005,Colorado,Arapahoe,11,1,19,2
08007,Colorado,Archuleta,19,2,26,2
08009,Colorado,Baca,29,2,45,3
08011,Colorado,Bent,53,4,56,4
08013,Colorado,Boulder,4,1,4,1
08014,Colorado,Broomfield,5,1,3,1
08015,Colorado,Chaffee,22,2,9,1
08017,Colorado,Cheyenne,31,3,30,2
08019,Colorado,Clear Creek,9,1,14,1
08021,Colorado,Conejos,58,4,46,4
08023,Colorado,Costilla,57,4,58,4
08025,Colorado,Crowley,47,4,59,4
08027,Colorado,Custer,44,3,27,2
08029,Colorado,Delta,42,3,44,3
08031,Colorado,Denver,25,2,39,3
08033,Colorado,Dolores,50,4,32,3
08035,Colorado,Douglas,1,1,1,1
08037,Colorado,Eagle,3,1,8,1
08041,Colorado,El Paso,36,3,33,3
08039,Colorado,Elbert,8,1,18,2
08043,Colorado,Fremont,46,4,50,4
08045,Colorado,Garfield,14,1,28,2
08047,Colorado,Gilpin,33,3,15,1
08049,Colorado,Grand,20,2,13,1
08051,Colorado,Gunnison,15,1,12,1
08053,Colorado,Hinsdale,NR,NR,NR,NR
08055,Colorado,Huerfano,56,4,52,4
08057,Colorado,Jackson,NR,NR,NR,NR
08059,Colorado,Jefferson,7,1,11,1
08061,Colorado,Kiowa,43,3,31,3
08063,Colorado,Kit Carson,28,2,35,3
08067,Colorado,La Plata,13,1,20,2
08065,Colorado,Lake,40,3,34,3
08069,Colorado,Larimer,10,1,10,1
08071,Colorado,Las Animas,60,4,55,4
08073,Colorado,Lincoln,16,2,37,3
08075,Colorado,Logan,38,3,40,3
08077,Colorado,Mesa,32,3,42,3
08079,Colorado,Mineral,NR,NR,NR,NR
08081,Colorado,Moffat,37,3,41,3
08083,Colorado,Montezuma,49,4,53,4
08085,Colorado,Montrose,39,3,38,3
08087,Colorado,Morgan,41,3,36,3
08089,Colorado,Otero,52,4,57,4
08091,Colorado,Ouray,35,3,7,1
08093,Colorado,Park,27,2,16,2
08095,Colorado,Phillips,23,2,17,2
08097,Colorado,Pitkin,2,1,2,1
08099,Colorado,Prowers,48,4,51,4
08101,Colorado,Pueblo,54,4,54,4
08103,Colorado,Rio Blanco,21,2,21,2
08105,Colorado,Rio Grande,51,4,49,4
08107,Colorado,Routt,12,1,5,1
08109,Colorado,Saguache,59,4,60,4
08111,Colorado,San Juan,NR,NR,NR,NR
