FIPS,State,County,OutcomeRank,OutcomeQuartile,FactorsRank,FactorsQuartile
01001,Alabama,Autauga,5,1,9,1
01003,Alabama,Baldwin,2,1,3,1
01005,Alabama,Barbour,52,4,62,4
01007,Alabama,Bibb,32,2,51,4
01009,Alabama,Blount,18,2,18,2
01011,Alabama,Bullock,54,4,63,4
01013,Alabama,Butler,50,3,56,4
01015,Alabama,Calhoun,23,2,22,2
01017,Alabama,Chambers,43,3,37,3
01019,Alabama,Cherokee,24,2,35,3
01021,Alabama,Chilton,21,2,36,3
01023,Alabama,Choctaw,48,3,42,3
01025,Alabama,Clarke,57,4,58,4
01027,Alabama,Clay,38,3,44,3
01029,Alabama,Cleburne,19,2,32,2
01031,Alabama,Coffee,10,1,13,1
01033,Alabama,Colbert,26,2,16,1
01035,Alabama,Conecuh,63,4,54,4
01037,Alabama,Coosa,55,4,28,2
01039,Alabama,Covington,42,3,33,2
01041,Alabama,Crenshaw,39,3,43,3
01043,Alabama,Cullman,11,1,14,1
01045,Alabama,Dale,16,1,21,2
01047,Alabama,Dallas,61,4,60,4
01049,Alabama,DeKalb,29,2,50,3
01051,Alabama,Elmore,8,1,10,1
01053,Alabama,Escambia,51,4,59,4
01055,Alabama,Etowah,33,2,24,2
01057,Alabama,Fayette,49,3,40,3
01059,Alabama,Franklin,30,2,46,3
01061,Alabama,Geneva,46,3,45,3
01063,Alabama,Greene,64,4,64,4
01065,Alabama,Hale,56,4,61,4
01067,Alabama,Henry,20,2,25,2
01069,Alabama,Houston,14,1,12,1
01071,Alabama,Jackson,37,3,26,2
01073,Alabama,Jefferson,22,2,6,1
01075,Alabama,Lamar,17,1,29,2
01077,Alabama,Lauderdale,7,1,7,1
01079,Alabama,Lawrence,41,3,38,3
01081,Alabama,Lee,3,1,4,1
01083,Alabama,Limestone,6,1,5,1
01085,Alabama,Lowndes,65,4,65,4
01087,Alabama,Macon,59,4,57,4
01089,Alabama,Madison,4,1,2,1
01091,Alabama,Marengo,58,4,41,3
01093,Alabama,Marion,36,3,27,2
01095,Alabama,Marshall,12,1,20,2
01097,Alabama,Mobile,28,2,23,2
01099,Alabama,Monroe,53,4,55,4
01101,Alabama,Montgomery,27,2,17,1
01103,Alabama,Morgan,15,1,15,1
01105,Alabama,Perry,66,4,66,4
01107,Alabama,Pickens,44,3,47,3
01109,Alabama,Pike,35,3,19,2
01111,Alabama,Randolph,25,2,48,3
01113,Alabama,Russell,40,3,30,2
01117,Alabama,Shelby,1,1,1,1
01115,Alabama,St. Clair,9,1,11,1
01119,Alabama,Sumter,62,4,52,4
01121,Alabama,Talladega,45,3,39,3
01123,Alabama,Tallapoosa,47,3,34,2
01125,Alabama,Tuscaloosa,13,1,8,1
01127,Alabama,Walker,60,4,31,2
01129,Alabama,Washington,31,2,53,4
01131,Alabama,Wilcox,67,4,67,4
01133,Alabama,Winston,34,2,49,3
02013,Alaska,Aleutians East,NR,NR,NR,NR
02016,Alaska,Aleutians West,14,3,6,1
02020,Alaska,Anchorage,8,2,3,1
02050,Alaska,Bethel,22,4,23,4
02060,Alaska,Bristol Bay,NR,NR,NR,NR
02068,Alaska,Denali,NR,NR,NR,NR
02070,Alaska,Dillingham,20,4,18,3
02090,Alaska,Fairbanks North Star,7,2,4,1
02100,Alaska,Haines,13,3,12,2
02105,Alaska,Hoonah-Angoon,17,3,17,3
02110,Alaska,Juneau,4,1,1,1
02122,Alaska,Kenai Peninsula,5,1,10,2
02130,Alaska,Ketchikan Gateway,10,2,7,2
02150,Alaska,Kodiak Island,1,1,5,1
02158,Alaska,Kusilvak,24,4,24,4
02164,Alaska,Lake and Peninsula,15,3,19,4
02170,Alaska,Matanuska-Susitna,6,1,9,2
02180,Alaska,Nome,21,4,20,4
02185,Alaska,North Slope,11,2,16,3
02188,Alaska,Northwest Arctic,23,4,21,4
02195,Alaska,Petersburg,12,2,8,2
02198,Alaska,Prince of Wales-Hyder,18,3,15,3
02220,Alaska,Sitka,3,1,2,1
02230,Alaska,Skagway,NR,NR,NR,NR
02240,Alaska,Southeast Fairbanks,2,1,13,3
02261,Alaska,Valdez-Cordova,9,2,11,2
02275,Alaska,Wrangell,16,3,14,3
02282,Alaska,Yakutat,NR,NR,NR,NR
02290,Alaska,Yukon-Koyukuk,19,4,22,4
04001,Arizona,Apache,15,4,15,4
04003,Arizona,Cochise,8,2,6,2
04005,Arizona,Coconino,9,3,5,2
04007,Arizona,Gila,13,4,9,3
04009,Arizona,Graham,10,3,8,2
04011,Arizona,Greenlee,6,2,4,1
04012,Arizona,La Paz,12,4,14,4
04013,Arizona,Maricopa,1,1,3,1
04015,Arizona,Mohave,11,3,11,3
04017,Arizona,Navajo,14,4,12,4
04019,Arizona,Pima,7,2,2,1
04021,Arizona,Pinal,2,1,7,2
04023,Arizona,Santa Cruz,3,1,10,3
04025,Arizona,Yavapai,5,2,1,1
04027,Arizona,Yuma,4,1,13,4
05001,Arkansas,Arkansas,49,3,28,2
05003,Arkansas,Ashley,58,4,67,4
05005,Arkansas,Baxter,9,1,5,1
05007,Arkansas,Benton,1,1,1,1
05009,Arkansas,Boone,7,1,6,1
05011,Arkansas,Bradley,66,4,55,3
05013,Arkansas,Calhoun,50,3,31,2
05015,Arkansas,Carroll,14,1,19,1
05017,Arkansas,Chicot,71,4,74,4
05019,Arkansas,Clark,15,1,15,1
05021,Arkansas,Clay,51,3,44,3
05023,Arkansas,Cleburne,33,2,22,2
05025,Arkansas,Cleveland,26,2,21,2
05027,Arkansas,Columbia,53,3,49,3
05029,Arkansas,Conway,31,2,26,2
05031,Arkansas,Craighead,20,2,8,1
05033,Arkansas,Crawford,17,1,25,2
05035,Arkansas,Crittenden,68,4,56,3
05037,Arkansas,Cross,61,4,52,3
05039,Arkansas,Dallas,60,4,41,3
05041,Arkansas,Desha,70,4,68,4
05043,Arkansas,Drew,48,3,39,3
05045,Arkansas,Faulkner,4,1,4,1
05047,Arkansas,Franklin,52,3,27,2
05049,Arkansas,Fulton,42,3,45,3
05051,Arkansas,Garland,35,2,11,1
05053,Arkansas,Grant,6,1,9,1
05055,Arkansas,Greene,19,1,14,1
05057,Arkansas,Hempstead,39,3,50,3
05059,Arkansas,Hot Spring,30,2,30,2
05061,Arkansas,Howard,38,2,32,2
05063,Arkansas,Independence,22,2,13,1
05065,Arkansas,Izard,44,3,43,3
05067,Arkansas,Jackson,64,4,63,4
05069,Arkansas,Jefferson,67,4,58,4
05071,Arkansas,Johnson,27,2,46,3
05073,Arkansas,Lafayette,55,3,69,4
05075,Arkansas,Lawrence,56,3,51,3
05077,Arkansas,Lee,73,4,73,4
05079,Arkansas,Lincoln,37,2,65,4
05081,Arkansas,Little River,36,2,33,2
05083,Arkansas,Logan,43,3,35,2
05085,Arkansas,Lonoke,5,1,10,1
05087,Arkansas,Madison,13,1,40,3
05089,Arkansas,Marion,34,2,29,2
05091,Arkansas,Miller,54,3,37,2
05093,Arkansas,Mississippi,72,4,71,4
05095,Arkansas,Monroe,74,4,70,4
05097,Arkansas,Montgomery,28,2,62,4
05099,Arkansas,Nevada,41,3,48,3
05101,Arkansas,Newton,21,2,16,1
05103,Arkansas,Ouachita,62,4,34,2
05105,Arkansas,Perry,8,1,17,1
05107,Arkansas,Phillips,75,4,75,4
05109,Arkansas,Pike,11,1,23,2
05111,Arkansas,Poinsett,69,4,60,4
05113,Arkansas,Polk,32,2,42,3
05115,Arkansas,Pope,10,1,18,1
05117,Arkansas,Prairie,47,3,20,2
05119,Arkansas,Pulaski,25,2,7,1
05121,Arkansas,Randolph,45,3,36,2
05125,Arkansas,Saline,3,1,2,1
05127,Arkansas,Scott,59,4,53,3
05129,Arkansas,Searcy,46,3,64,4
05131,Arkansas,Sebastian,12,1,12,1
05133,Arkansas,Sevier,16,1,59,4
05135,Arkansas,Sharp,29,2,54,3
05123,Arkansas,St. Francis,65,4,72,4
05137,Arkansas,Stone,40,3,57,4
05139,Arkansas,Union,63,4,47,3
05141,Arkansas,Van Buren,24,2,38,2
05143,Arkansas,Washington,2,1,3,1
05145,Arkansas,White,23,2,24,2
05147,Arkansas,Woodruff,57,4,66,4
05149,Arkansas,Yell,18,1,61,4
06001,California,Alameda,13,1,6,1
06003,California,Alpine,25,2,42,3
06005,California,Amador,24,2,23,2
06007,California,Butte,32,3,28,2
06009,California,Calaveras,30,3,26,2
06011,California,Colusa,28,2,54,4
06013,California,Contra Costa,12,1,10,1
06015,California,Del Norte,50,4,50,4
06017,California,El Dorado,17,2,8,1
06019,California,Fresno,46,4,51,4
06021,California,Glenn,38,3,48,4
06023,California,Humboldt,37,3,32,3
06025,California,Imperial,34,3,58,4
06027,California,Inyo,43,3,25,2
06029,California,Kern,53,4,56,4
06031,California,Kings,29,2,52,4
06033,California,Lake,56,4,49,4
06035,California,Lassen,49,4,40,3
06037,California,Los Angeles,22,2,30,3
06039,California,Madera,44,3,53,4
