Branch,Category,AM-Holds,AM-Circ,AM-TechProg,AM-CompSess,AM-ProgSess,AM-Visits,Holds,Circ,CompSess,TechProg,ProgSess,Visits,ActHrs,Staff-LH,Vacc,DffvsModel,TotPop,AvgMedInc,HholdBroadbandPrct,Poverty,PovertyPrct,Unemployment,UnemployPrct,Eng<Vwell,Eng<VwellPrct,Less9Gd,9-12GdNoDeg,HS,CollNoDeg,Assoc,Bach,Grad,Under5yrs,5-9yrs,10-14yrs,15-19yrs,20-24yrs,25-34yrs,35-44yrs,45-54yrs,55-59yrs,60-64yrs,65-74yrs,75-84 yrs,85 years and over
Adams Street,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.565474781,21.704088,1.633909543,0.053387295,0.209243752,31.16354164,2322.65,5.1,3,-2,19506,89271,0.22,3509.00,0.18,990,0.05,1661,0.09,513,382,2019,1561,512,4255,4570,1094,1255,967,692,770,3721,3272,2288,1150,820,1444,907,210
Arlington,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.288951534,12.23376342,3.113954245,0.014745744,0.239835195,14.54884528,2305.75,8.083333333,2,-1,50106,47753,1.05,9163.00,0.18,1080,0.02,10377,0.21,3231,2896,13994,4402,1693,3322,1132,3512,2907,3382,3060,3004,7259,6584,6146,3176,2310,3591,1098,506
Bay Ridge,Circ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13.1946874,72.66515495,7.568945038,0.017276752,0.183133571,45.81665047,2315.25,,1,1,41116,86075,0.48,4586.00,0.11,1149,0.03,7125,0.17,1906,1973,5098,2915,1653,7823,5461,2577,1919,2008,1804,1712,5704,5249,4718,2657,2399,3636,1745,721
Borough Park,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.920931463,39.78036518,5.767240011,0.088912411,0.220693305,21.47361736,3149.166667,2.833333333,0,2,81557,45148,1.81,24254.00,0.30,1487,0.02,23177,0.28,5442,5530,12289,3619,1051,4620,2435,10482,7418,6756,5044,4701,9958,7691,5315,2310,2507,4357,1621,1227
Brighton Beach,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.880587439,42.25450916,7.8457261,0.043202395,0.328509303,55.57924004,2337.833333,,1,0,52121,56379,0.92,9296.00,0.18,861,0.02,25522,0.49,2246,1349,8218,2882,2872,10135,9724,2884,1901,2351,1645,1804,5347,5144,5273,3406,3066,6771,5524,2895
Brooklyn Heights,Circ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,33.06206312,142.7045118,10.22791781,0.049989409,0.499046812,143.6801525,2360.5,,4,-2,26619,158798,0.17,1041.00,0.04,564,0.02,642,0.02,162,182,776,765,411,7057,8259,1651,847,677,1288,1330,5762,4588,2015,1337,1021,1493,854,542
Brower Park,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.734855795,35.48536507,2.763160716,0.062613917,0.206711697,38.4436582,2331.75,1.25,1,0,34011,66419,0.51,6487.00,0.19,1184,0.03,1841,0.05,1701,1781,4984,3461,1492,6753,4786,1813,1487,1615,1052,2098,8172,5175,3476,1918,1494,2650,1649,424
Brownsville,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.791357486,8.884766478,7.085552161,0.161501528,0.339589699,23.64120471,2291,,1,0,45738,33086,1.38,14646.00,0.32,2489,0.05,3896,0.09,2215,4029,10023,4554,2074,2828,963,2569,2019,2283,2822,2687,8115,5660,4944,2070,1646,2642,1073,536
Bushwick,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5.185628743,22.04191617,4.694183062,0.243370402,0.423866553,27.4063302,2338,,1,1,54009,53969,1.00,15201.00,0.28,2665,0.05,11385,0.21,4922,4492,8131,4577,1739,8805,3425,2435,2629,2535,2622,4803,13610,6659,5424,2507,1929,3281,1982,699
Canarsie,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.441437587,14.24537384,4.471066424,0.08300353,0.257139801,34.43833565,2337.25,7,2,-1,40742,78334,0.52,5172.00,0.13,1023,0.03,3814,0.09,1936,1956,8903,5284,2555,4967,2084,2759,2808,2369,2870,2236,6148,5229,4790,2769,2653,3891,1491,714
Clinton Hill,Mixed,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,18.92291236,74.69942238,5.065535192,0.222063752,0.437709477,60.3410112,2337.166667,,1,1,28647,99820,0.29,2793.00,0.10,1041,0.04,1355,0.05,596,609,1840,2131,1113,8053,5871,1855,790,1036,1341,2027,6702,4894,2999,1226,1044,1697,1077,574
Coney Island,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.076609733,17.04595155,5.343528907,0.006003002,0.269277496,29.62910026,2332.166667,,1,1,35648,37157,0.96,10925.00,0.31,1438,0.04,13289,0.37,3031,2646,6978,2538,1946,3757,3109,1813,2134,2128,2218,1934,4299,3180,3613,2578,2161,4235,2949,990
Cortelyou,Circ,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,13.93795534,59.19909628,7.778246477,0.081506002,0.289989776,66.00270257,2331.116667,1.883333333,2,0,35475,83795,0.42,4766.00,0.13,1071,0.03,5550,0.16,1912,1477,6161,3761,1360,5511,4095,2575,1829,2287,1789,1912,6461,5408,3899,2361,1989,2641,1175,343
Crown Heights,Circ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,11.97561758,65.53224254,7.329697359,0.052186932,0.311410544,41.45952305,2337.75,0.25,0,1,84412,60742,1.39,13469.00,0.16,3072,0.04,6702,0.08,2961,4282,14008,10620,3347,13449,9192,4345,3995,4490,4401,5610,16706,9946,10491,4581,4035,6530,3983,1587
Cypress Hills,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.014496914,14.05526051,5.9388546,0.102913736,0.413807952,23.92636716,2322.333333,7.666666667,0.5,0.5,63757,44665,1.43,17924.00,0.28,1859,0.03,8617,0.14,3114,3387,20199,4803,2665,4440,1418,5106,5391,5215,4280,3954,10325,8227,7001,4299,3509,4277,1881,507
DeKalb,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6.787952323,28.1110556,5.074584255,0.029119977,0.316893869,59.63343088,2335.166667,0.333333333,0,2,61595,58701,1.05,14127.00,0.23,2355,0.04,9019,0.15,4041,4249,10111,6217,2642,8297,3492,3107,3463,3203,2657,6060,14830,7348,5887,2739,2368,3474,1704,699
Dyker,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.826775021,38.77929855,4.508126604,0.032506416,0.360136869,39.04918734,2338,,1,0,23617,70830,0.33,2348.00,0.10,665,0.03,5700,0.24,1807,1039,5041,1601,887,3634,2186,1305,1123,1014,1099,1228,3014,2694,3130,1584,1460,2319,1357,637
East Flatbush,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.793118514,19.43287821,9.048607318,0.111851447,0.3080284,29.86695795,2288.75,,0,1,72110,48540,1.49,13116.00,0.18,3179,0.04,3310,0.05,2799,4076,15784,8939,3918,7073,2632,4150,3240,4114,3071,3635,8724,8026,8958,4836,4542,5758,3151,1226
Eastern Parkway,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4.886385505,27.01212381,8.372093023,0.098589256,0.198510799,42.47287315,2251.766667,8.733333333,1,1,42912,40062,1.07,11666.00,0.27,2163,0.05,3674,0.09,2421,3706,8514,5482,1974,4795,2909,3395,2824,2379,2412,4274,7819,6330,5567,2856,2483,2824,1361,561
Flatbush,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.801988282,32.55955536,8.729390193,0.073056483,0.277614634,38.49603919,2326.966667,2.616666667,3,-1,78900,58872,1.34,11484.00,0.15,2062,0.03,8707,0.11,2819,4065,17965,8233,2898,10369,6137,4542,4176,4096,4432,4977,15713,11266,8848,3959,4005,5546,2313,836
Flatlands,Mixed,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,7.61311054,56.91688089,4.441302485,0.227077978,0.825621251,28.01842331,2334,4,0,2,41129,90784,0.45,2749.00,0.07,1124,0.03,5403,0.13,1607,1337,8352,4785,2462,5960,4041,2828,3022,2713,2899,2504,5339,4885,5162,2854,3189,4377,1900,838
Fort Hamilton,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.289715599,38.53203103,4.222062626,0.01335823,0.245619075,30.12151681,2320.666667,0.466666667,1,0,40899,81749,0.50,4092.00,0.10,963,0.02,6315,0.15,1578,1494,5136,4820,1693,7999,6612,1953,2007,1728,2275,2174,6666,5665,4914,2410,2625,3769,2100,1183
Gerritsen Beach,Prog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.658760763,24.65987005,2.321271988,0.024087476,0.421530822,21.87649886,1577.583333,0.416666667,3,-2,16793,65378,0.26,1550.00,0.09,419,0.02,3988,0.24,683,606,3632,1661,897,2066,1677,892,818,915,619,575,2005,1937,1806,1184,1046,1876,705,663
Gravesend,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.956613266,34.37042852,3.462946444,0.030399258,0.209369537,25.12734149,2335.583333,0.483333333,2,0,33056,60759,0.54,4323.00,0.13,937,0.03,11305,0.34,1760,1480,6122,2313,1919,4884,3367,2649,1895,1498,1350,1682,4463,3714,3867,2422,1843,3013,1507,1016
Greenpoint,Mixed,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,23.13794532,98.66487158,6.483015742,0.18061309,0.608119304,89.28044739,2414,,3,-1,45915,94735,0.48,4029.00,0.09,1570,0.03,5130,0.11,1484,1275,4528,4362,1193,14306,7011,2048,1374,936,823,2095,13637,9077,4039,1706,1502,2183,1364,651
Highlawn,Circ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8.496897648,75.27313008,6.197609343,0.01259765,0.207644022,42.06876579,2302.016667,,1,0,62533,60972,1.03,9864.00,0.16,1672,0.03,25146,0.40,6400,3740,10994,3772,2498,8029,4488,4447,3422,3272,2730,3334,8381,7936,7167,3953,3649,4642,2459,1734
Homecrest,Prog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.172296928,30.41084509,2.064502023,0.04504209,0.310484312,18.46594512,2286.75,,1,0,30906,57662,0.54,5319.00,0.17,691,0.02,10131,0.33,2190,1344,5837,2397,1355,4479,2623,2898,2148,2247,2154,1722,4897,3199,3748,1717,1492,2982,1461,729
Jamaica Bay,Prog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.065299561,12.79228396,4.355476387,0.031715688,0.27197289,20.78246513,2301.7,2.55,2,-1,32238,64454,0.50,3836.00,0.12,850,0.03,2307,0.07,652,1208,6874,3655,2033,4347,2707,2007,2198,1925,1923,2240,4580,4312,4091,2322,2170,2639,937,425
Kensington,Mixed,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,10.38879384,69.83319076,11.81052181,0.101796407,0.289991446,43.25748503,2338,,3,-1,62485,55371,1.13,12702.00,0.20,1292,0.02,14131,0.23,3039,2869,8372,4965,1888,7529,5515,4846,4508,4936,3951,2808,8421,6873,5437,2678,3131,4328,2032,1277
Kings Bay,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.303250642,43.96621044,4.884944397,0.088964927,0.323353293,33.03336185,2338,,1,1,38913,71074,0.55,5679.00,0.15,1007,0.03,13172,0.34,2769,1700,7285,3095,2531,6909,4110,1873,1962,2445,1587,2233,4758,4313,4834,2530,3755,4868,2617,724
Kings Highway,Mixed,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,16.43294702,118.7557947,10.55960265,0.163493377,0.395281457,75.89445364,2416,,4,-1,52614,73048,0.72,6183.00,0.12,1006,0.02,13348,0.25,1951,1871,6726,3832,2283,8403,7108,3862,3329,3270,2617,2528,5931,5479,5162,2786,3271,5823,2157,1565
Macon,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8.44675954,37.43234403,5.248213204,0.127437916,0.32804361,39.8594791,2063.75,,3.5,-1.5,62879,68912,0.91,11661.00,0.19,2367,0.04,3036,0.05,1932,3236,11999,6934,3145,13038,8072,3643,3374,3130,2840,4261,15682,9631,7616,4093,3354,4389,2542,1049
Marcy,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.871857953,25.18729276,5.078618034,0.025243342,0.230185047,16.02182052,2337.25,0.25,1,0,57792,55920,1.03,17791.00,0.31,2069,0.04,8032,0.14,2797,3867,7841,4005,1618,7515,3966,5045,4125,3870,3624,4533,11561,7148,5522,2030,1617,2100,1362,269
McKinley Park,Circ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9.734030957,89.20078483,10.86112928,0.017440593,0.186614345,74.10420754,2293.5,0.25,1,1,59799,52121,1.15,12351.00,0.21,1538,0.03,25814,0.43,7828,5332,8606,2095,1356,5385,1961,3487,3689,2987,2801,2221,7174,6540,6342,3150,2915,4118,1641,683
Midwood,Circ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,18.93381038,104.5105756,7.208670946,0.05850784,0.308534147,50.23676734,2375.75,,1,1,49979,74937,0.67,8060.00,0.16,1221,0.02,10958,0.22,2084,2414,6335,3556,1803,7986,6187,4816,3543,3537,3094,2928,7514,5408,5015,2579,2305,4532,1872,1140
Mill Basin,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.160660009,39.67520625,4.564481112,0.030395137,0.203647416,32.03430308,2303,17,3,-2,42316,83156,0.51,2126.00,0.05,958,0.02,4750,0.11,1445,1692,8313,4131,2279,6745,4508,2222,1776,2632,2170,2232,4175,5572,5719,3130,2720,4109,2777,911
New Lots,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.473735207,14.07502249,6.935981729,0.063533809,0.305626687,34.99633193,2408.166667,0.333333333,4,-2,38342,37342,1.03,8996.00,0.23,2291,0.06,2912,0.08,2032,2311,8499,4301,1582,2375,880,2690,2191,2410,2065,2773,4606,4356,4270,2221,1916,2454,1492,665
New Utrecht,Mixed,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,8.787689563,72.63336307,11.27966102,0.062890277,0.430419269,61.49241748,2242,,3,-1,65291,68666,0.95,8968.00,0.14,1518,0.02,26180,0.40,6786,3419,10238,4905,2946,9522,4960,4427,3888,3378,3260,3456,9122,8443,8089,3496,3363,5370,3203,1690
Pacific,Mixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.76846058,47.01391024,6.470945825,0.063078849,0.314536027,38.04040765,2330.416667,7,2,0,26880,116476,0.23,4546.00,0.17,1031,0.04,1864,0.07,1171,1484,2216,1878,886,6862,5685,2137,1277,1311,925,983,6510,4472,3201,1274,1406,1792,974,553
Paerdegat,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.740479396,9.646537013,3.37147095,0.090723847,0.36980768,18.0920631,2314.716667,8.283333333,2.5,-1.5,37721,69302,0.54,4065.00,0.11,994,0.03,3740,0.10,1543,1608,7530,4914,2281,4370,2801,1744,1918,2232,2033,2313,4871,4232,4373,2563,2353,3584,2302,769
Park Slope,Circ,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,32.20134897,119.7981078,8.436920013,0.040740573,0.275225205,69.89814857,2209.1,0.416666667,3,-1,47943,116338,0.41,3678.00,0.08,1729,0.04,4042,0.08,1531,1844,3850,2518,1864,12382,11975,3361,2275,2543,1798,1974,11448,8973,6544,2236,1871,2983,1371,538
Rugby,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.352037331,19.70721676,6.046635366,0.053494776,0.298966774,25.88413779,2317.983333,1.5,0,1,39342,59127,0.67,3938.00,0.10,1044,0.03,2228,0.06,1300,1350,8996,5190,1994,4502,2349,2045,2389,2215,2014,2016,5428,4683,3900,2540,2812,3298,2316,704
Saratoga,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3.768192909,21.11841539,5.400602842,0.221329123,0.442658246,21.48227358,2322.333333,0.666666667,0,2,35260,58069,0.61,8295.00,0.24,1057,0.03,2072,0.06,1618,2207,8095,3581,2177,5082,2449,2076,2101,2113,2114,3029,7034,4781,4499,1758,2031,2879,1589,638
Sheepshead Bay,Prog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.316602151,32.41899955,3.274235976,0.070574649,0.512842447,35.48835518,2337.95,,0,2,23851,70324,0.34,2503.00,0.10,594,0.02,9703,0.41,867,813,3986,1872,1498,4828,2729,1509,923,545,1047,941,3634,2649,3019,1774,1326,2336,1193,662
Spring Creek,Mixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.425923021,14.19676854,4.202472798,0.020107525,0.157865465,17.94232991,2337.433333,0.733333333,1,0,30776,28565,1.08,7606.00,0.25,1327,0.04,3462,0.11,1615,1949,7672,3077,2091,2209,1468,1585,1892,1547,1323,1852,3373,2916,3588,1992,1765,2732,2442,1273
Stone Avenue,Tech,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.773684211,9.175488722,6.200300752,0.145263158,0.217894737,21.90721805,2216.666667,2.333333333,4,-2,32577,30901,1.05,9053.00,0.28,1666,0.05,2803,0.09,2279,2569,6199,3347,1481,1996,479,1770,1785,1897,1373,1629,4845,2812,3180,1781,1762,2364,1234,372
Sunset Park,Circ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6.802643329,68.0667262,10.38228255,0.081443115,0.449223076,64.30576889,2332.916667,,3,-1,82071,45632,1.80,15245.00,0.19,2116,0.03,35690,0.43,9986,9358,11337,4979,2141,7273,4922,4918,4834,4751,3407,4313,13901,11306,9197,3666,3292,5240,2623,771
Ulmer Park,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.209349172,41.26336693,4.192555236,0.010286376,0.178725775,29.95435421,2333.183333,0.816666667,0,1,37856,51131,0.74,7498.00,0.20,1497,0.04,14565,0.38,3669,2713,7297,2976,2206,4754,2270,2046,2219,1936,1721,2089,4402,4362,4886,3137,2730,3284,1837,1247
Walt Whitman,Tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.790597678,14.92948259,3.880607711,0.08126702,0.251110793,26.66031246,2325.666667,11.33333333,1,0,35098,87133,0.40,6509.00,0.19,1281,0.04,3225,0.09,1257,1394,3369,2716,984,8247,6515,2217,2035,1198,1690,2419,9382,5670,3532,1400,1487,1478,930,603
Washington Irving,Circ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.698545423,29.31234213,4.45300932,0.050518248,0.185959411,28.1012107,2296.2,0.8,1.5,-0.5,54382,57263,0.95,13562.00,0.25,1577,0.03,13154,0.24,4887,4457,7595,4397,2193,9070,3112,3136,2529,3300,2576,4810,13474,7577,5382,2332,2177,2827,1569,373
