"Overall Rank
(1 = Best)",City,State,Overall Score,Policy Rank,Infrastructure Rank,Pollution Rank,Transportation Rank,Food Production Rank
1,San Francisco,CA,69.81,5,15,64,1,13
2,Rochester,NY,66.02,2,6,35,39,20
3,New York,NY,62.57,1,161,105,2,3
4,Boston,MA,61.54,14,47,73,3,83
5,Oakland,CA,61.52,7,67,60,13,44
6,Salt Lake City,UT,60.65,26,3,170,11,14
7,Sacramento,CA,59.5,11,2,154,42,66
8,Syracuse,NY,58.71,2,41,61,34,107
9,Des Moines,IA,56.92,16,20,1,100,134
10,St. Louis,MO,56.61,27,111,55,26,2
11,St. Paul,MN,55.99,13,64,36,40,136
12,Los Angeles,CA,55.98,7,10,158,27,92
13,Baltimore,MD,55.94,10,138,29,32,102
14,San Diego,CA,55.57,35,1,115,60,62
15,San Jose,CA,54.54,5,19,119,61,88
16,Eugene,OR,54.51,77,12,91,30,24
17,Atlanta,GA,54.41,71,5,133,66,1
18,Durham,NC,54.18,23,33,75,99,11
19,Nashville,TN,54.16,106,56,41,18,36
20,Portland,OR,53.84,77,31,116,7,60
21,Austin,TX,53.62,20,23,153,57,32
22,Seattle,WA,53.12,109,25,110,4,54
22,Riverside,CA,53.12,11,21,124,138,46
24,Louisville,KY,52.88,81,89,52,6,97
25,Fort Collins,CO,52.86,22,8,78,41,164
26,Richmond,VA,52.48,97,61,47,48,12
27,Philadelphia,PA,52.45,4,177,56,15,162
28,Pittsburgh,PA,52.38,72,36,43,23,130
29,Minneapolis,MN,52,44,125,104,8,47
30,Oxnard,CA,51.99,45,59,21,72,71
31,Grand Rapids,MI,51.51,91,115,19,43,38
32,Charlotte,NC,51.41,23,75,26,136,73
33,Knoxville,TN,50.86,106,35,27,123,25
34,Bakersfield,CA,50.73,9,37,83,120,137
35,Jersey City,NJ,50.53,74,175,90,5,30
36,Tampa,FL,50.51,86,24,82,54,42
37,Santa Rosa,CA,50.39,58,14,117,74,7
38,Salinas,CA,50.11,45,78,70,88,33
39,Worcester,MA,50.06,83,92,33,91,26
40,Salem,OR,49.94,77,16,103,79,10
41,Buffalo,NY,49.74,30,18,114,21,160
42,Alexandria,VA,49.68,88,179,57,29,18
43,Birmingham,AL,49.59,29,108,42,143,39
44,Chicago,IL,49.51,15,139,161,10,143
45,Sunnyvale,CA,49.47,36,9,121,37,128
46,Vancouver,WA,49.31,112,27,46,86,61
47,Denver,CO,48.65,96,29,171,22,31
48,Miami,FL,48.59,161,81,48,19,16
49,Pasadena,CA,48.22,45,63,142,38,58
50,Long Beach,CA,47.96,36,48,155,33,79
51,Winston-Salem,NC,47.93,139,93,18,164,17
52,Columbus,OH,47.89,134,42,32,63,105
53,Washington,DC,47.71,85,99,130,9,96
54,New Orleans,LA,47.52,73,160,39,24,122
