id,date,time,name,size,type,price
2015-000001,1/1/2015,11:38:36,hawaiian,M,classic,13.25
2015-000002,1/1/2015,11:57:40,classic_dlx,M,classic,16
2015-000002,1/1/2015,11:57:40,mexicana,M,veggie,16
2015-000002,1/1/2015,11:57:40,thai_ckn,L,chicken,20.75
2015-000002,1/1/2015,11:57:40,five_cheese,L,veggie,18.5
2015-000002,1/1/2015,11:57:40,ital_supr,L,supreme,20.75
2015-000003,1/1/2015,12:12:28,prsc_argla,L,supreme,20.75
2015-000003,1/1/2015,12:12:28,ital_supr,M,supreme,16.5
2015-000004,1/1/2015,12:16:31,ital_supr,M,supreme,16.5
2015-000005,1/1/2015,12:21:30,ital_supr,M,supreme,16.5
2015-000006,1/1/2015,12:29:36,bbq_ckn,S,chicken,12.75
2015-000006,1/1/2015,12:29:36,the_greek,S,classic,12
2015-000007,1/1/2015,12:50:37,spinach_supr,S,supreme,12.5
2015-000008,1/1/2015,12:51:37,spinach_supr,S,supreme,12.5
2015-000009,1/1/2015,12:52:01,ital_supr,L,supreme,20.75
2015-000009,1/1/2015,12:52:01,mexicana,S,veggie,12
2015-000009,1/1/2015,12:52:01,spin_pesto,L,veggie,20.75
2015-000009,1/1/2015,12:52:01,spicy_ital,L,supreme,20.75
2015-000009,1/1/2015,12:52:01,ital_cpcllo,L,classic,20.5
2015-000009,1/1/2015,12:52:01,veggie_veg,S,veggie,12
2015-000009,1/1/2015,12:52:01,green_garden,S,veggie,12
2015-000009,1/1/2015,12:52:01,classic_dlx,S,classic,12
2015-000009,1/1/2015,12:52:01,ital_supr,S,supreme,12.5
2015-000010,1/1/2015,13:00:15,mexicana,L,veggie,20.25
2015-000010,1/1/2015,13:00:15,southw_ckn,L,chicken,20.75
2015-000011,1/1/2015,13:02:59,pepperoni,L,classic,15.25
2015-000011,1/1/2015,13:02:59,cali_ckn,L,chicken,20.75
2015-000011,1/1/2015,13:02:59,cali_ckn,M,chicken,16.75
2015-000011,1/1/2015,13:02:59,bbq_ckn,L,chicken,20.75
2015-000012,1/1/2015,13:04:41,cali_ckn,S,chicken,12.75
2015-000012,1/1/2015,13:04:41,ital_supr,M,supreme,16.5
2015-000012,1/1/2015,13:04:41,cali_ckn,L,chicken,20.75
2015-000012,1/1/2015,13:04:41,ckn_pesto,L,chicken,20.75
2015-000013,1/1/2015,13:11:55,mexicana,L,veggie,20.25
2015-000014,1/1/2015,13:14:19,the_greek,S,classic,12
2015-000015,1/1/2015,13:33:00,big_meat,S,classic,12
2015-000015,1/1/2015,13:33:00,five_cheese,L,veggie,18.5
2015-000015,1/1/2015,13:33:00,soppressata,L,supreme,20.75
2015-000015,1/1/2015,13:33:00,the_greek,S,classic,12
2015-000016,1/1/2015,13:34:07,thai_ckn,L,chicken,20.75
2015-000016,1/1/2015,13:34:07,four_cheese,L,veggie,17.95
2015-000016,1/1/2015,13:34:07,napolitana,S,classic,12
2015-000017,1/1/2015,13:53:00,mediterraneo,M,veggie,16
2015-000017,1/1/2015,13:53:00,bbq_ckn,L,chicken,20.75
2015-000017,1/1/2015,13:53:00,ital_supr,M,supreme,16.5
2015-000017,1/1/2015,13:53:00,mexicana,L,veggie,20.25
2015-000017,1/1/2015,13:53:00,four_cheese,M,veggie,14.75
2015-000017,1/1/2015,13:53:00,spinach_fet,L,veggie,20.25
2015-000017,1/1/2015,13:53:00,mediterraneo,M,veggie,16
2015-000017,1/1/2015,13:53:00,five_cheese,L,veggie,18.5
2015-000017,1/1/2015,13:53:00,ital_veggie,S,veggie,12.75
2015-000017,1/1/2015,13:53:00,calabrese,M,supreme,16.25
2015-000017,1/1/2015,13:53:00,peppr_salami,S,supreme,12.5
2015-000018,1/1/2015,13:57:08,napolitana,L,classic,20.5
2015-000019,1/1/2015,13:59:09,sicilian,L,supreme,20.25
2015-000019,1/1/2015,13:59:09,ital_cpcllo,L,classic,20.5
2015-000020,1/1/2015,14:03:08,five_cheese,L,veggie,18.5
2015-000020,1/1/2015,14:03:08,big_meat,S,classic,12
2015-000021,1/1/2015,14:14:29,ital_cpcllo,L,classic,20.5
2015-000022,1/1/2015,14:16:26,ital_cpcllo,M,classic,16
2015-000022,1/1/2015,14:16:26,southw_ckn,L,chicken,20.75
2015-000022,1/1/2015,14:16:26,five_cheese,L,veggie,18.5
2015-000023,1/1/2015,14:19:03,southw_ckn,S,chicken,12.75
2015-000024,1/1/2015,14:23:01,ital_cpcllo,M,classic,16
2015-000024,1/1/2015,14:23:01,pepperoni,M,classic,12.5
2015-000024,1/1/2015,14:23:01,prsc_argla,S,supreme,12.5
2015-000024,1/1/2015,14:23:01,bbq_ckn,M,chicken,16.75
2015-000025,1/1/2015,14:44:44,thai_ckn,L,chicken,20.75
2015-000025,1/1/2015,14:44:44,sicilian,M,supreme,16.25
2015-000026,1/1/2015,14:54:26,classic_dlx,S,classic,12
2015-000026,1/1/2015,14:54:26,veggie_veg,L,veggie,20.25
2015-000027,1/1/2015,15:11:17,bbq_ckn,L,chicken,20.75
2015-000027,1/1/2015,15:11:17,spinach_fet,L,veggie,20.25
2015-000027,1/1/2015,15:11:17,classic_dlx,M,classic,16
2015-000028,1/1/2015,15:35:46,ckn_alfredo,S,chicken,12.75
2015-000029,1/1/2015,15:41:01,green_garden,S,veggie,12
2015-000030,1/1/2015,15:41:25,thai_ckn,L,chicken,20.75
2015-000031,1/1/2015,15:50:18,mexicana,M,veggie,16
